.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
10R_S10_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
10R_S10_R2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
11R_S11_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
11R_S11_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
12R_S12_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
12R_S12_R2	1	0.25	1	1	0.25	0.5	1	0.5	0.5	0.5	1
13R_S13_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
13R_S13_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
14R_S14_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
14R_S14_R2	1	0.25	1	1	0.5	0.5	1	0.5	0.25	0.5	1
15R_S15_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
15R_S15_R2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
16R_S16_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
16R_S16_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	0.5
17R_S17_R1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
17R_S17_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	0.5
18R_S18_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
18R_S18_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
19R_S19_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
19R_S19_R2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
1R_S1_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.5	0.5	1
1R_S1_R2	1	0.25	1	1	0.5	0.25	1	0.5	0.5	0.5	0.5
20R_S20_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
20R_S20_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
21R_S21_R1	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
21R_S21_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
22R_S22_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
22R_S22_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	0.5
23R_S94_R1	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
23R_S94_R2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
24R_S23_R1	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
24R_S23_R2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
25R_S24_R1	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
25R_S24_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
26R_S25_R1	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
26R_S25_R2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
27R_S26_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
27R_S26_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
28R_S27_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
28R_S27_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
29R_S28_R1	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.5	1
29R_S28_R2	1	0.25	1	1	0.25	0.25	1	0.5	0.5	0.5	1
2R_S8_R1	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
2R_S8_R2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.5	1
30R_S29_R1	1	0.25	1	1	0.25	0.5	1	0.5	0.5	0.5	1
30R_S29_R2	1	0.25	1	1	0.25	0.5	1	0.5	0.5	0.5	1
